Dates,BAC UN Equity
2020-01-01,26.5508
2020-01-02,27.13361
2020-01-03,26.66565
2020-01-06,26.48176
2020-01-07,26.37112
2020-01-08,26.68447
2020-01-09,26.8203
2020-01-10,26.59623
2020-01-13,26.97961
2020-01-14,27.12333
2020-01-15,26.6017
2020-01-16,26.55652
2020-01-17,26.6508
2020-01-20,26.6508
2020-01-21,26.26092
2020-01-22,26.17107
2020-01-23,26.02593
2020-01-24,25.64416
2020-01-27,25.15699
2020-01-28,25.5712
2020-01-29,25.36889
2020-01-30,25.56701
2020-01-31,24.87875
2020-02-03,25.35179
2020-02-04,25.79804
2020-02-05,26.69179
2020-02-06,26.80532
2020-02-07,26.82738
2020-02-10,26.87064
2020-02-11,26.84735
2020-02-12,26.93198
2020-02-13,26.73866
2020-02-14,26.72546
2020-02-17,26.72546
2020-02-18,26.35343
2020-02-19,26.87723
2020-02-20,27.06166
2020-02-21,26.48374
2020-02-24,25.29953
2020-02-25,23.88564
2020-02-26,23.72947
2020-02-27,22.60944
2020-02-28,22.33367
2020-03-02,22.92919
2020-03-03,21.66107
2020-03-04,22.10715
2020-03-05,20.69712
2020-03-06,19.77236
2020-03-09,16.71367
2020-03-10,18.26551
2020-03-11,17.64202
2020-03-12,16.25069
2020-03-13,19.56592
2020-03-16,16.70617
2020-03-17,18.18182
2020-03-18,17.86236
2020-03-19,18.34704
2020-03-20,16.91752
2020-03-23,15.6442
2020-03-24,17.93909
2020-03-25,17.86924
2020-03-26,18.70575
2020-03-27,17.40111
2020-03-30,17.79285
2020-03-31,17.12373
2020-04-01,15.94998
2020-04-02,16.63432
2020-04-03,16.38178
2020-04-06,17.38176
2020-04-07,17.94456
2020-04-08,18.90214
2020-04-09,19.96948
2020-04-10,19.96948
2020-04-13,19.10696
2020-04-14,18.82288
2020-04-15,17.69679
2020-04-16,17.22003
2020-04-17,18.62698
2020-04-20,18.05054
2020-04-21,17.63651
2020-04-22,17.70918
2020-04-23,17.69274
2020-04-24,17.98719
2020-04-27,18.92437
2020-04-28,19.22272
2020-04-29,19.92762
2020-04-30,19.11461
2020-05-01,18.44482
2020-05-04,18.44285
2020-05-05,18.21251
2020-05-06,18.08545
2020-05-07,18.48495
2020-05-08,18.9744
