Dates,BARC LN Equity
2020-01-01,1.796
2020-01-02,1.852
2020-01-03,1.833
2020-01-06,1.81
2020-01-07,1.831
2020-01-08,1.82
2020-01-09,1.829
2020-01-10,1.81
2020-01-13,1.817
2020-01-14,1.81
2020-01-15,1.785
2020-01-16,1.768
2020-01-17,1.752
2020-01-20,1.75
2020-01-21,1.744
2020-01-22,1.748
2020-01-23,1.715
2020-01-24,1.734
2020-01-27,1.707
2020-01-28,1.72
2020-01-29,1.72
2020-01-30,1.715
2020-01-31,1.68
2020-02-03,1.697
2020-02-04,1.72
2020-02-05,1.73
2020-02-06,1.767
2020-02-07,1.772
2020-02-10,1.769
2020-02-11,1.79
2020-02-12,1.793
2020-02-13,1.763
2020-02-14,1.759
2020-02-17,1.777
2020-02-18,1.751
2020-02-19,1.767
2020-02-20,1.813
2020-02-21,1.796
2020-02-24,1.7
2020-02-25,1.659
2020-02-26,1.659
2020-02-27,1.544
2020-02-28,1.487
2020-03-02,1.433
2020-03-03,1.396
2020-03-04,1.385
2020-03-05,1.347
2020-03-06,1.309
2020-03-09,1.181
2020-03-10,1.168
2020-03-11,1.179
2020-03-12,0.975
2020-03-13,1.024
2020-03-16,0.891
2020-03-17,0.878
2020-03-18,0.832
2020-03-19,0.837
2020-03-20,0.89
2020-03-23,0.847
2020-03-24,0.96
2020-03-25,1.058
2020-03-26,1.08
2020-03-27,0.974
2020-03-30,0.94
2020-03-31,0.941
2020-04-01,0.829
2020-04-02,0.816
2020-04-03,0.802
2020-04-06,0.866
2020-04-07,0.948
2020-04-08,0.927
2020-04-09,0.976
2020-04-10,0.976
2020-04-13,0.976
2020-04-14,0.936
2020-04-15,0.87
2020-04-16,0.871
2020-04-17,0.907
2020-04-20,0.91
2020-04-21,0.865
2020-04-22,0.877
2020-04-23,0.906
2020-04-24,0.886
2020-04-27,0.911
2020-04-28,0.978
2020-04-29,1.102
2020-04-30,1.059
2020-05-01,1.027
2020-05-04,0.997
2020-05-05,1.034
2020-05-06,1.009
2020-05-07,1.054
2020-05-08,1.054
2020-05-11,1.026
2020-05-12,1.02
2020-05-13,0.98
2020-05-14,0.971
2020-05-15,0.975
2020-05-18,1.052
2020-05-19,1.047
2020-05-20,1.067
2020-05-21,1.039
2020-05-22,1.031
2020-05-25,1.031
2020-05-26,1.108
2020-05-27,1.198
2020-05-28,1.226
2020-05-29,1.152
2020-06-01,1.208
2020-06-02,1.195
2020-06-03,1.253
2020-06-04,1.235
2020-06-05,1.314
2020-06-08,1.318
2020-06-09,1.253
2020-06-10,1.24
2020-06-11,1.15
2020-06-12,1.171
2020-06-15,1.161
2020-06-16,1.227
2020-06-17,1.194
2020-06-18,1.186
2020-06-19,1.166
2020-06-22,1.153
2020-06-23,1.169
2020-06-24,1.119
2020-06-25,1.126
2020-06-26,1.11
2020-06-29,1.145
2020-06-30,1.144
2020-07-01,1.135
2020-07-02,1.179
2020-07-03,1.157
2020-07-06,1.173
2020-07-07,1.15
2020-07-08,1.144
2020-07-09,1.12
2020-07-10,1.178
2020-07-13,1.196
2020-07-14,1.194
2020-07-15,1.203
2020-07-16,1.186
2020-07-17,1.164
2020-07-20,1.162
2020-07-21,1.166
2020-07-22,1.174
2020-07-23,1.165
2020-07-24,1.136
2020-07-27,1.11
2020-07-28,1.119
2020-07-29,1.05
2020-07-30,1.008
2020-07-31,1.006
2020-08-03,1.038
2020-08-04,1.053
2020-08-05,1.073
2020-08-06,1.058
2020-08-07,1.046
2020-08-10,1.066
2020-08-11,1.118
2020-08-12,1.115
2020-08-13,1.081
2020-08-14,1.092
2020-08-17,1.079
2020-08-18,1.081
2020-08-19,1.102
2020-08-20,1.076
2020-08-21,1.08
2020-08-24,1.104
2020-08-25,1.091
2020-08-26,1.104
2020-08-27,1.105
2020-08-28,1.12
2020-08-31,1.12
2020-09-01,1.059
2020-09-02,1.035
2020-09-03,1.056
2020-09-04,1.069
2020-09-07,1.069
2020-09-08,1.043
2020-09-09,1.049
2020-09-10,1.05
2020-09-11,1.026
2020-09-14,1.036
2020-09-15,1.026
2020-09-16,1.03
2020-09-17,1.005
2020-09-18,0.974
2020-09-21,0.922
2020-09-22,0.92
2020-09-23,0.929
2020-09-24,0.929
2020-09-25,0.916
2020-09-28,0.98
2020-09-29,0.973
2020-09-30,0.976
2020-10-01,0.98
2020-10-02,0.977
2020-10-05,0.995
2020-10-06,1.042
2020-10-07,1.045
2020-10-08,1.071
2020-10-09,1.073
2020-10-12,1.058
