Dates,JPM UN Equity
2020-01-01,105.10443
2020-01-02,107.4153
2020-01-03,105.69988
2020-01-06,105.03799
2020-01-07,103.50396
2020-01-08,104.49447
2020-01-09,105.22931
2020-01-10,104.17241
2020-01-13,105.57907
2020-01-14,106.58885
2020-01-15,104.90294
2020-01-16,104.97935
2020-01-17,106.11179
2020-01-20,106.11179
2020-01-21,104.89039
2020-01-22,104.10542
2020-01-23,104.1495
2020-01-24,101.80442
2020-01-27,101.11043
2020-01-28,103.41565
2020-01-29,103.15862
2020-01-30,103.77243
2020-01-31,100.30312
2020-02-03,102.55286
2020-02-04,103.81369
2020-02-05,105.80591
2020-02-06,106.394
2020-02-07,106.32509
2020-02-10,106.69249
2020-02-11,106.55548
2020-02-12,106.43221
2020-02-13,105.60662
2020-02-14,105.41411
2020-02-17,105.41411
2020-02-18,104.30637
2020-02-19,106.43288
2020-02-20,106.76347
2020-02-21,104.67859
2020-02-24,102.15661
2020-02-25,97.03351
2020-02-26,98.1097
2020-02-27,94.20211
2020-02-28,90.98817
2020-03-02,94.87079
2020-03-03,91.29654
2020-03-04,93.32658
2020-03-05,88.08254
2020-03-06,83.11928
2020-03-09,71.21408
2020-03-10,77.905
2020-03-11,74.67704
2020-03-12,69.76468
2020-03-13,84.15128
2020-03-16,72.21904
2020-03-17,77.55811
2020-03-18,72.07664
2020-03-19,73.82086
2020-03-20,71.8156
2020-03-23,68.3828
2020-03-24,75.43291
2020-03-25,77.68462
2020-03-26,80.7838
2020-03-27,73.41497
2020-03-30,75.48236
2020-03-31,72.61655
2020-04-01,68.0597
2020-04-02,70.76662
2020-04-03,68.74131
2020-04-06,72.69625
2020-04-07,73.46409
2020-04-08,76.01161
2020-04-09,82.54478
2020-04-10,82.54478
2020-04-13,78.43278
2020-04-14,75.75157
2020-04-15,72.40609
2020-04-16,70.20661
2020-04-17,76.15618
2020-04-20,73.57401
2020-04-21,72.57539
2020-04-22,72.57514
2020-04-23,72.31616
2020-04-24,73.56257
2020-04-27,76.29415
2020-04-28,76.67364
2020-04-29,78.69723
2020-04-30,76.10873
2020-05-01,74.5225
2020-05-04,74.10923
2020-05-05,73.9431
2020-05-06,73.0458
2020-05-07,73.81839
2020-05-08,74.62566
2020-05-11,72.88561
2020-05-12,70.80215
2020-05-13,68.72495
2020-05-14,71.75535
2020-05-15,70.88044
2020-05-18,74.26108
2020-05-19,72.38958
2020-05-20,74.68313
2020-05-21,73.72854
2020-05-22,73.52289
2020-05-25,73.52289
2020-05-26,77.68139
2020-05-27,82.82539
2020-05-28,80.93694
2020-05-29,79.00463
2020-06-01,79.10148
2020-06-02,78.89784
2020-06-03,82.80654
2020-06-04,84.46949
2020-06-05,87.72082
2020-06-08,89.34478
2020-06-09,86.73886
2020-06-10,83.14519
2020-06-11,76.99192
2020-06-12,79.87044
2020-06-15,80.58739
2020-06-16,81.04503
